well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
684,23-08-2023,21-09-2023,180,180,180,180,30
684,22-09-2023,17-03-2024,180,46,43,50,178
684,18-03-2024,08-04-2024,46,56,52,63,22
684,09-04-2024,26-04-2024,56,64,59,71,18
684,27-04-2024,26-06-2024,64,190,167,205,61
684,27-06-2024,21-07-2024,190,145,123,156,25
684,22-07-2024,30-07-2024,145,208,200,217,9
684,31-07-2024,03-09-2024,208,174,0,0,35
684,04-09-2024,20-11-2024,174,157,142,167,78
684,21-11-2024,14-03-2025,157,181,157,201,114
684,15-03-2025,27-04-2025,181,134,118,148,44
685,03-06-2023,08-09-2023,0,175,164,189,98
685,09-09-2023,24-02-2024,175,120,105,127,169
685,25-02-2024,16-03-2024,120,83,73,99,21
685,17-03-2024,08-04-2024,83,109,99,115,23
685,09-04-2024,30-04-2024,109,12,12,12,22
685,01-05-2024,15-05-2024,12,71,0,0,15
685,16-05-2024,09-06-2024,71,72,64,81,25
685,10-06-2024,24-07-2024,72,44,39,50,45
685,25-07-2024,14-12-2024,44,106,93,118,143
685,15-12-2024,05-01-2025,106,85,75,91,22
685,06-01-2025,07-02-2025,85,63,56,70,33
685,08-02-2025,16-02-2025,63,50,43,56,9
685,17-02-2025,23-02-2025,50,121,116,126,7
685,24-02-2025,08-03-2025,121,161,152,166,13
685,09-03-2025,22-04-2025,161,90,79,104,45
685,23-04-2025,01-05-2025,90,65,56,73,9
1021,20-06-2023,03-07-2023,93,112,98,132,14
1021,04-07-2023,07-09-2023,112,92,0,0,66
1021,08-09-2023,20-09-2023,92,94,90,98,13
1021,21-09-2023,08-10-2023,94,76,74,79,18
1021,09-10-2023,21-10-2023,76,207,197,269,13
1021,22-10-2023,02-11-2023,207,47,41,54,12
1021,03-11-2023,19-11-2023,47,57,52,60,17
1021,20-11-2023,12-01-2024,57,272,238,302,54
1021,13-01-2024,02-02-2024,272,164,144,188,21
1021,03-02-2024,21-02-2024,164,46,43,51,19
1021,22-02-2024,16-03-2024,46,150,131,160,24
1021,17-03-2024,08-05-2024,150,126,123,126,53
1021,09-05-2024,26-06-2024,126,99,85,102,49
1021,27-06-2024,26-07-2024,99,73,66,82,30
1021,27-07-2024,23-09-2024,73,54,0,0,59
1021,24-09-2024,21-10-2024,54,50,44,65,28
1021,22-10-2024,01-11-2024,50,41,40,42,11
1021,02-11-2024,20-11-2024,41,200,196,200,19
1021,21-11-2024,01-02-2025,200,216,216,216,73
1021,02-02-2025,15-02-2025,216,61,55,70,14
