well,oil_start,q_start,p_start,oil_end,q_end,p_end,duration_days_oil,ppd_well,ppd_start,ppd_end,duration_days_ppd
1446,2024-06-09,0.0,0.0,2024-06-15,0.0,0.0,7,5508,2024-06-09,2024-07-14,36
5505,2024-06-09,46.0,30.0,2024-06-15,49.0,28.0,7,5508,2024-06-09,2024-07-14,36
1430,2024-07-15,21.0,28.0,2024-07-21,21.0,28.0,7,5508,2024-07-15,2024-10-19,97
1446,2024-07-15,0.0,0.0,2024-07-21,0.0,0.0,7,5508,2024-07-15,2024-10-19,97
5505,2024-07-15,34.0,26.0,2024-07-21,32.0,27.0,7,5508,2024-07-15,2024-10-19,97
1430,2024-10-20,26.0,32.0,2024-10-26,25.0,31.0,7,5508,2024-10-20,2024-11-07,19
1446,2024-10-20,54.0,57.7,2024-10-26,51.0,59.3,7,5508,2024-10-20,2024-11-07,19
5505,2024-10-20,34.0,34.0,2024-10-26,35.0,34.0,7,5508,2024-10-20,2024-11-07,19
1430,2024-11-08,25.0,33.0,2024-11-14,25.0,33.0,7,5508,2024-11-08,2024-11-25,18
1446,2024-11-08,52.0,56.0,2024-11-14,51.0,55.9,7,5508,2024-11-08,2024-11-25,18
5505,2024-11-08,31.0,48.0,2024-11-25,29.0,46.0,18,5508,2024-11-08,2024-11-25,18
1430,2024-11-26,25.0,33.0,2024-12-02,25.0,33.0,7,5508,2024-11-26,2024-12-03,8
1446,2024-11-26,48.0,54.7,2024-12-02,49.0,54.4,7,5508,2024-11-26,2024-12-03,8
5505,2024-11-26,31.0,48.0,2024-12-02,32.0,48.0,7,5508,2024-11-26,2024-12-03,8
1430,2024-12-04,25.0,33.0,2024-12-10,24.0,33.0,7,5508,2024-12-04,2024-12-19,16
1446,2024-12-04,48.0,54.3,2024-12-10,46.0,56.0,7,5508,2024-12-04,2024-12-19,16
5505,2024-12-04,28.0,48.0,2024-12-10,34.0,48.0,7,5508,2024-12-04,2024-12-19,16
1430,2024-12-20,24.0,33.0,2024-12-26,24.0,33.0,7,5508,2024-12-20,2025-01-01,13
1446,2024-12-20,46.0,57.1,2025-01-01,50.0,119.0,13,5508,2024-12-20,2025-01-01,13
5505,2024-12-20,37.0,48.0,2024-12-26,36.0,48.0,7,5508,2024-12-20,2025-01-01,13
1430,2025-01-02,25.0,33.0,2025-01-08,24.0,33.0,7,5508,2025-01-02,2025-03-21,79
1446,2025-01-02,50.0,120.4,2025-01-31,50.0,53.8,30,5508,2025-01-02,2025-03-21,79
5505,2025-01-02,33.0,46.8,2025-01-31,52.0,34.0,30,5508,2025-01-02,2025-03-21,79
1430,2025-03-22,26.0,30.0,2025-03-28,25.0,30.0,7,5508,2025-03-22,2025-05-01,41
1446,2025-03-22,51.0,40.5,2025-03-28,49.0,42.2,7,5508,2025-03-22,2025-05-01,41
5505,2025-03-22,37.0,34.0,2025-03-28,38.0,34.0,7,5508,2025-03-22,2025-05-01,41
1446,2023-07-03,11.0,277.0,2023-07-09,11.0,277.0,7,5517,2023-07-03,2023-09-18,78
5505,2023-07-03,35.0,21.8,2023-07-09,35.0,21.9,7,5517,2023-07-03,2023-09-18,78
1446,2023-09-19,11.0,277.0,2023-09-25,9.0,277.0,7,5517,2023-09-19,2023-09-27,9
5505,2023-09-19,33.0,21.3,2023-09-25,36.0,21.4,7,5517,2023-09-19,2023-09-27,9
1446,2023-09-28,8.0,277.0,2023-10-04,7.0,277.0,7,5517,2023-09-28,2023-10-13,16
5505,2023-09-28,35.0,21.5,2023-10-04,37.0,21.7,7,5517,2023-09-28,2023-10-13,16
1446,2023-10-14,6.0,277.0,2023-10-20,8.0,277.0,7,5517,2023-10-14,2023-10-23,10
5505,2023-10-14,34.0,22.1,2023-10-20,32.0,22.2,7,5517,2023-10-14,2023-10-23,10
1446,2023-10-24,7.0,277.0,2023-10-30,7.0,277.0,7,5517,2023-10-24,2024-02-03,103
5505,2023-10-24,32.0,22.2,2023-10-30,35.0,22.2,7,5517,2023-10-24,2024-02-03,103
